49.05798,-122.25257,Abbotsford,British Columbia,,CA,Canada
45.65007,-72.56582,Acton Vale,Quebec,Monteregie,CA,Canada
46.05007,-71.08235,Adstock,Quebec,Chaudiere-Appalaches,CA,Canada
49.23298,-121.76926,Agassiz,British Columbia,,CA,Canada
51.30011,-114.03528,Airdrie,Alberta,,CA,Canada
43.85012,-79.03288,Ajax,Ontario,,CA,Canada
48.88324,-72.44867,Albanel,Quebec,Saguenay/Lac-Saint-Jean,CA,Canada
46.81685,-64.06542,Alberton,Prince Edward Island,,CA,Canada
48.55009,-71.6491,Alma,Quebec,Saguenay/Lac-Saint-Jean,CA,Canada
49.10469,-97.55961,Altona,Manitoba,,CA,Canada
45.83345,-64.19874,Amherst,Nova Scotia,,CA,Canada
42.11679,-83.04985,Amherstburg,Ontario,,CA,Canada
48.56688,-78.11624,Amos,Quebec,Abitibi-Temiscamingue,CA,Canada
44.31681,-79.88295,Angus,Ontario,,CA,Canada
49.31637,-122.85263,Anmore,British Columbia,Greater Vancouver Regional District,CA,Canada
45.61685,-61.99858,Antigonish,Nova Scotia,,CA,Canada
50.44979,-119.20235,Armstrong,British Columbia,,CA,Canada
45.43341,-76.34939,Arnprior,Ontario,,CA,Canada
45.76678,-71.9324,Asbestos,Quebec,Estrie,CA,Canada
50.72372,-121.28207,Ashcroft,British Columbia,Thompson-Nicola Regional District,CA,Canada
49.63336,-105.98446,Assiniboia,Saskatchewan,,CA,Canada
54.71687,-113.28537,Athabasca,Alberta,,CA,Canada
48.75667,-91.62409,Atikokan,Ontario,Rainy River District,CA,Canada
42.76679,-80.98302,Aylmer,Ontario,,CA,Canada
49.21679,-68.14894,Baie-Comeau,Quebec,Cote-Nord,CA,Canada
45.41397,-73.91586,Baie-D'Urfe,Quebec,,CA,Canada
45.05752,-77.85702,Bancroft,Ontario,,CA,Canada
51.17622,-115.56982,Banff,Alberta,,CA,Canada
48.43349,-77.63279,Barraute,Quebec,Abitibi-Temiscamingue,CA,Canada
54.13345,-114.40211,Barrhead,Alberta,,CA,Canada
44.40011,-79.66634,Barrie,Ontario,,CA,Canada
50.78342,-112.46854,Bassano,Alberta,,CA,Canada
47.59989,-53.26478,Bay Roberts,Newfoundland and Labrador,,CA,Canada
45.43341,-73.86586,Beaconsfield,Quebec,,CA,Canada
45.31341,-73.8725,Beauharnois,Quebec,Monteregie,CA,Canada
53.35013,-113.41871,Beaumont,Alberta,,CA,Canada
50.0622,-96.51669,Beausejour,Manitoba,,CA,Canada
55.21664,-119.43605,Beaverlodge,Alberta,,CA,Canada
46.33336,-72.43241,Becancour,Quebec,Mauricie,CA,Canada
45.11678,-72.98244,Bedford,Quebec,Monteregie,CA,Canada
46.08341,-62.88197,Belfast,Prince Edward Island,,CA,Canada
44.16682,-77.38277,Belleville,Ontario,,CA,Canada
45.31588,-75.83012,Bells Corners,Ontario,,CA,Canada
45.56678,-73.19915,Beloeil,Quebec,Monteregie,CA,Canada
46.08336,-73.18245,Berthierville,Quebec,Lanaudiere,CA,Canada
45.05015,-64.73208,Berwick,Nova Scotia,,CA,Canada
52.0668,-108.00135,Biggar,Saskatchewan,,CA,Canada
50.70011,-114.2353,Black Diamond,Alberta,,CA,Canada
52.38342,-113.7853,Blackfalds,Alberta,,CA,Canada
45.66678,-73.88249,Blainville,Quebec,Laurentides,CA,Canada
43.46679,-81.59977,Bluewater,Ontario,,CA,Canada
45.61678,-73.83249,Boisbriand,Quebec,Laurentides,CA,Canada
45.66678,-73.74918,Bois-des-Filion,Quebec,,CA,Canada
49.23062,-100.05586,Boissevain,Manitoba,,CA,Canada
53.83345,-113.41872,Bon Accord,Alberta,,CA,Canada
48.64989,-53.11474,Bonavista,Newfoundland and Labrador,,CA,Canada
54.26684,-110.73505,Bonnyville,Alberta,,CA,Canada
49.14994,-55.34819,Botwood,Newfoundland and Labrador,,CA,Canada
45.59104,-73.43605,Boucherville,Quebec,Monteregie,CA,Canada
46.46844,-64.73905,Bouctouche,New Brunswick,,CA,Canada
45.4334,-75.1493,Bourget,Ontario,,CA,Canada
49.3847,-123.33622,Bowen Island,British Columbia,Greater Vancouver Regional District,CA,Canada
49.86676,-111.36843,Bow Island,Alberta,,CA,Canada
45.03341,-79.31633,Bracebridge,Ontario,,CA,Canada
44.11681,-79.61633,Bradford West Gwillimbury,Ontario,,CA,Canada
43.68341,-79.76633,Brampton,Ontario,,CA,Canada
49.84692,-99.95306,Brandon,Manitoba,,CA,Canada
43.1334,-80.34967,Brant,Ontario,,CA,Canada
43.1334,-80.26636,Brantford,Ontario,,CA,Canada
44.38345,-64.51546,Bridgewater,Nova Scotia,,CA,Canada
44.59132,-75.68705,Brockville,Ontario,,CA,Canada
45.31678,-72.64912,Bromont,Quebec,Monteregie,CA,Canada
50.58341,-111.88509,Brooks,Alberta,,CA,Canada
45.45008,-73.46583,Brossard,Quebec,Monteregie,CA,Canada
45.68342,-74.4159,Brownsburg-Chatham,Quebec,Laurentides,CA,Canada
47.61668,-57.61516,Burgeo,Newfoundland and Labrador,,CA,Canada
43.38621,-79.83713,Burlington,Ontario,,CA,Canada
49.26636,-122.95263,Burnaby,British Columbia,,CA,Canada
54.2331,-125.7533,Burns Lake,British Columbia,,CA,Canada
50.81011,-121.3246,Cache Creek,British Columbia,,CA,Canada
51.05011,-114.08529,Calgary,Alberta,,CA,Canada
53.26683,-113.81874,Calmar,Alberta,,CA,Canada
43.3601,-80.31269,Cambridge,Ontario,,CA,Canada
43.03596,-82.1616,Camlachie,Ontario,,CA,Canada
50.01634,-125.24459,Campbell River,British Columbia,,CA,Canada
53.01684,-112.83525,Camrose,Alberta,,CA,Canada
45.38338,-73.51587,Candiac,Quebec,Monteregie,CA,Canada
51.08335,-115.35206,Canmore,Alberta,,CA,Canada
51.63328,-102.43425,Canora,Saskatchewan,,CA,Canada
49.10009,-66.68212,Cap-Chat,Quebec,,CA,Canada
49.86893,-99.36021,Carberry,Manitoba,,CA,Canada
47.73319,-53.21478,Carbonear,Newfoundland and Labrador,,CA,Canada
49.19998,-113.3019,Cardston,Alberta,,CA,Canada
45.45008,-73.29916,Carignan,Quebec,Monteregie,CA,Canada
45.13341,-76.14938,Carleton Place,Ontario,,CA,Canada
49.63334,-102.26765,Carlyle,Saskatchewan,,CA,Canada
49.4992,-98.00156,Carman,Manitoba,,CA,Canada
51.56681,-114.102,Carstairs,Alberta,,CA,Canada
45.3168,-75.0826,Casselman,Ontario,,CA,Canada
49.29984,-117.66894,Castlegar,British Columbia,,CA,Canada
48.51659,-53.08135,Catalina,Newfoundland and Labrador,,CA,Canada
45.45008,-73.28246,Chambly,Quebec,Monteregie,CA,Canada
47.57021,-59.13674,Channel-Port aux Basques,Newfoundland and Labrador,,CA,Canada
49.78344,-74.84919,Chapais,Quebec,Nord-du-Quebec,CA,Canada
45.71678,-73.48247,Charlemagne,Quebec,Lanaudiere,CA,Canada
46.23525,-63.12671,Charlottetown,Prince Edward Island,,CA,Canada
50.8165,-119.68571,Chase,British Columbia,,CA,Canada
45.38338,-73.74919,Chateauguay,Quebec,Monteregie,CA,Canada
44.54225,-64.23891,Chester,Nova Scotia,,CA,Canada
51.03341,-113.81867,Chestermere,Alberta,,CA,Canada
55.69988,-121.63627,Chetwynd,British Columbia,,CA,Canada
49.91684,-74.36586,Chibougamau,Quebec,Nord-du-Quebec,CA,Canada
49.16638,-121.95257,Chilliwack,British Columbia,Fraser Valley Regional District,CA,Canada
49.11679,-68.39896,Chute-aux-Outardes,Quebec,Cote-Nord,CA,Canada
